iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
AGO,buildings,other-onsite-fuel-usage,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,18627.9026,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:28.471434
AGO,buildings,other-onsite-fuel-usage,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,18745.906316999997,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:28.471434
AGO,buildings,other-onsite-fuel-usage,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,18896.27354,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:28.471434
AGO,buildings,other-onsite-fuel-usage,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,0.1612809999999999,tonnes,,2023-10-06 14:56:33.428328,
AGO,buildings,other-onsite-fuel-usage,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,2.23998,tonnes,,2023-10-06 14:56:33.428328,
AGO,buildings,other-onsite-fuel-usage,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,15523.06148,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:21.655145
AGO,buildings,other-onsite-fuel-usage,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,15621.396655,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:21.655145
AGO,buildings,other-onsite-fuel-usage,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,15746.701136,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:21.655145
AGO,buildings,other-onsite-fuel-usage,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,0.134399,tonnes,,2023-10-06 14:56:33.428328,
AGO,buildings,other-onsite-fuel-usage,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,1.920108,tonnes,,2023-10-06 14:56:33.428328,
AGO,buildings,other-onsite-fuel-usage,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,13306.34866,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.079618
AGO,buildings,other-onsite-fuel-usage,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,13390.641274,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.079618
AGO,buildings,other-onsite-fuel-usage,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,13498.052116,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.079618
AGO,buildings,other-onsite-fuel-usage,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,0.1152059999999999,tonnes,,2023-10-06 14:56:33.428328,
AGO,buildings,other-onsite-fuel-usage,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,1.928189,tonnes,,2023-10-06 14:56:33.428328,
AGO,buildings,other-onsite-fuel-usage,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,13362.34931,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:08.504777
